IP地址,端口,回源端口,数据中心,地区,城市,TCP延迟(ms),速度(kB/s)
129.146.46.164,443,443,US,Los Angeles,Los Angeles,27 ms,41574 kB/s
198.23.196.40,443,443,US,Buffalo,Buffalo,60 ms,35225 kB/s
47.88.101.9,443,443,US,San Jose,San Jose,3 ms,60928 kB/s
35.230.79.26,443,443,US,Seattle,Seattle,22 ms,105472 kB/s
198.23.236.101,443,443,US,San Jose,San Jose,38 ms,87961 kB/s
129.146.7.98,443,443,US,Los Angeles,Los Angeles,41 ms,57753 kB/s
198.46.188.190,443,443,US,Buffalo,Buffalo,69 ms,10547 kB/s
192.18.149.159,443,443,CA,Toronto,Toronto,61 ms,26214 kB/s
43.153.103.203,443,443,US,San Jose,San Jose,24 ms,211968 kB/s
184.169.181.217,443,443,US,San Jose,San Jose,23 ms,279552 kB/s
43.153.80.208,443,443,US,San Jose,San Jose,92 ms,206848 kB/s
35.197.23.75,443,443,US,Seattle,Seattle,21 ms,111616 kB/s
198.23.254.51,443,443,US,San Jose,San Jose,15 ms,87552 kB/s
192.9.138.241,443,443,US,San Jose,San Jose,15 ms,207872 kB/s
34.82.76.253,443,443,US,Seattle,Seattle,21 ms,95641 kB/s
34.145.83.113,443,443,US,Seattle,Seattle,22 ms,63590 kB/s
107.172.98.6,443,443,US,San Jose,San Jose,24 ms,19968 kB/s
35.202.158.120,443,443,US,Chicago,Chicago,58 ms,54579 kB/s
23.94.182.23,443,443,US,Buffalo,Buffalo,74 ms,11161 kB/s
23.94.43.51,443,443,US,Seattle,Seattle,51 ms,81715 kB/s
107.174.192.7,443,443,US,San Jose,San Jose,1 ms,91648 kB/s
130.61.23.77,443,443,DE,Frankfurt,Frankfurt,149 ms,12595 kB/s
3.112.21.102,443,443,JP,Tokyo,Tokyo,105 ms,23859 kB/s
152.67.233.64,443,443,US,San Jose,San Jose,57 ms,167936 kB/s
193.122.197.111,443,443,US,Ashburn,Ashburn,149 ms,37068 kB/s
192.210.175.20,443,443,NL,Amsterdam,Amsterdam,151 ms,6774 kB/s
3.144.191.4,443,443,US,Chicago,Chicago,84 ms,37376 kB/s
43.131.49.250,443,443,DE,Frankfurt,Frankfurt,150 ms,14336 kB/s
3.97.14.70,443,443,CA,Montréal,Montréal,77 ms,33996 kB/s
45.154.15.101,443,443,CN,Hong Kong,Hong Kong,129 ms,1199 kB/s
138.3.254.39,443,443,DE,Frankfurt,Frankfurt,150 ms,14028 kB/s
3.67.25.193,443,443,DE,Frankfurt,Frankfurt,155 ms,13721 kB/s
13.250.22.76,443,443,SG,Singapore,Singapore,170 ms,366 kB/s
23.94.217.204,443,443,NL,Amsterdam,Amsterdam,147 ms,13721 kB/s
143.47.238.255,443,443,US,Frankfurt,Frankfurt,152 ms,13516 kB/s
